Id,Name,PlayerPhoto_paths,CountryFlag_paths,ClubLogo_paths
204401,Diogo Figueiras,static/images/PlayerPhoto/204401,static/images/CountryFlag/204401,static/images/ClubLogo/204401
233730,Y. Méïté,static/images/PlayerPhoto/233730,static/images/CountryFlag/233730,static/images/ClubLogo/233730
210985,B. Osborn,static/images/PlayerPhoto/210985,static/images/CountryFlag/210985,static/images/ClubLogo/210985
230560,21 A. Isako,static/images/PlayerPhoto/230560,static/images/CountryFlag/230560,static/images/ClubLogo/230560
214937,L. Villalba,static/images/PlayerPhoto/214937,static/images/CountryFlag/214937,static/images/ClubLogo/214937
121193,17 N. Valdez,static/images/PlayerPhoto/121193,static/images/CountryFlag/121193,static/images/ClubLogo/121193
233151,K. Miyoshi,static/images/PlayerPhoto/233151,static/images/CountryFlag/233151,static/images/ClubLogo/233151
239950,Pêpê,static/images/PlayerPhoto/239950,static/images/CountryFlag/239950,static/images/ClubLogo/239950
230530,Hugo Rubiães,static/images/PlayerPhoto/230530,static/images/CountryFlag/230530,static/images/ClubLogo/230530
243014,B. Mbeumo,static/images/PlayerPhoto/243014,static/images/CountryFlag/243014,static/images/ClubLogo/243014
240970,M. Payero,static/images/PlayerPhoto/240970,static/images/CountryFlag/240970,static/images/ClubLogo/240970
200517,20 Carles Planas,static/images/PlayerPhoto/200517,static/images/CountryFlag/200517,static/images/ClubLogo/200517
252909,Antonio Sánchez,static/images/PlayerPhoto/252909,static/images/CountryFlag/252909,static/images/ClubLogo/252909
228151,J. Cullen,static/images/PlayerPhoto/228151,static/images/CountryFlag/228151,static/images/ClubLogo/228151
228595,G. Prömel,static/images/PlayerPhoto/228595,static/images/CountryFlag/228595,static/images/ClubLogo/228595
210533,João Schmidt,static/images/PlayerPhoto/210533,static/images/CountryFlag/210533,static/images/ClubLogo/210533
183389,21 G. Sio,static/images/PlayerPhoto/183389,static/images/CountryFlag/183389,static/images/ClubLogo/183389
165429,C. Keșerü,static/images/PlayerPhoto/165429,static/images/CountryFlag/165429,static/images/ClubLogo/165429
177896,M. Vrančić,static/images/PlayerPhoto/177896,static/images/CountryFlag/177896,static/images/ClubLogo/177896
229155,T. Ouwejan,static/images/PlayerPhoto/229155,static/images/CountryFlag/229155,static/images/ClubLogo/229155
258615,Zarraga,static/images/PlayerPhoto/258615,static/images/CountryFlag/258615,static/images/ClubLogo/258615
199689,A. Sepúlveda,static/images/PlayerPhoto/199689,static/images/CountryFlag/199689,static/images/ClubLogo/199689
189065,21 F. Renzetti,static/images/PlayerPhoto/189065,static/images/CountryFlag/189065,static/images/ClubLogo/189065
261529,D. Fomin,static/images/PlayerPhoto/261529,static/images/CountryFlag/261529,static/images/ClubLogo/261529
236259,S. Peña,static/images/PlayerPhoto/236259,static/images/CountryFlag/236259,static/images/ClubLogo/236259
143809,M. Demir,static/images/PlayerPhoto/143809,static/images/CountryFlag/143809,static/images/ClubLogo/143809
200746,J. Lundstram,static/images/PlayerPhoto/200746,static/images/CountryFlag/200746,static/images/ClubLogo/200746
193693,21 Cauê,static/images/PlayerPhoto/193693,static/images/CountryFlag/193693,static/images/ClubLogo/193693
