Rk,Date,Comp,Round,Venue,Squad,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes
94,2020-06-30,La Liga,Matchweek 33,Home,Barcelona,Atlético Madrid,Y*,0.79,0.98,Left Foot,13,50,1-1,Jan Oblak,,Nélson Semedo,Fouled,Arturo Vidal,Pass (Live),
95,2020-06-16,La Liga,Matchweek 29,Home,Barcelona,Leganés,Y*,0.79,0.99,Left Foot,13,69,1-0,Iván Cuéllar,,Lionel Messi,Fouled,Lionel Messi,Pass (Live),
96,2020-06-13,La Liga,Matchweek 28,Away,Barcelona,Mallorca,Y*,0.06,0.57,Right Foot,15,90+3,3-0,Manolo Reina,Luis Suárez,Luis Suárez,Pass (Live),Ronald Araújo,Pass (Live),Deflected
97,2020-03-07,La Liga,Matchweek 27,Home,Barcelona,Real Sociedad,Y*,0.79,0.98,Left Foot,13,81,0-0,Álex Remiro,,,Fouled,Lionel Messi,Fouled,
98,2020-02-22,La Liga,Matchweek 25,Home,Barcelona,Eibar,Y*,0.70,0.96,Left Foot,4,87,3-0,Marko Dmitrović,,Arturo Vidal,Pass (Live),Lionel Messi,Pass (Live),
99,2020-02-22,La Liga,Matchweek 25,Home,Barcelona,Eibar,Y*,0.40,0.30,Left Foot,10,40,2-0,Marko Dmitrović,,Lionel Messi,Pass (Live),,,
100,2020-02-22,La Liga,Matchweek 25,Home,Barcelona,Eibar,Y*,0.25,0.88,Left Foot,12,37,1-0,Marko Dmitrović,Arturo Vidal,Arturo Vidal,Pass (Live),Sergio Busquets,Pass (Live),
101,2020-02-22,La Liga,Matchweek 25,Home,Barcelona,Eibar,Y*,0.28,0.45,Left Foot,14,14,0-0,Marko Dmitrović,Ivan Rakitić,Lionel Messi,Dribble,Ivan Rakitić,Pass (Live),
102,2020-01-30,Copa del Rey,Round of 16,Home,Barcelona,Leganés,Y*,,,,,89,4-0,Iván Cuéllar,Ivan Rakitić,,,,,
103,2020-01-30,Copa del Rey,Round of 16,Home,Barcelona,Leganés,Y*,,,,,59,2-0,Iván Cuéllar,,,,,,
104,2020-01-19,La Liga,Matchweek 20,Home,Barcelona,Granada,Y*,0.33,0.80,Right Foot,16,76,0-0,Rui Silva,Arturo Vidal,Arturo Vidal,Pass (Live),Antoine Griezmann,Pass (Live),
105,2020-01-09,Supercopa de España,Semi-finals,Home,Barcelona,Atlético Madrid,Y*,,,,,51,0-1,Jan Oblak,Luis Suárez,,,,,
106,2019-12-21,La Liga,Matchweek 18,Home,Barcelona,Alavés,Y*,0.03,0.24,Left Foot,27,69,2-1,Fernando Pacheco,Luis Suárez,Luis Suárez,Pass (Live),Carles Aleñá,Pass (Live),
107,2019-12-07,La Liga,Matchweek 16,Home,Barcelona,Mallorca,Y*,0.09,0.52,Left Foot,14,83,4-2,Manolo Reina,Luis Suárez,Luis Suárez,Pass (Live),Sergi Roberto,Pass (Live),
108,2019-12-07,La Liga,Matchweek 16,Home,Barcelona,Mallorca,Y*,0.07,0.14,Left Foot,21,41,2-1,Manolo Reina,Ivan Rakitić,Ivan Rakitić,Pass (Live),Luis Suárez,Pass (Live),
109,2019-12-07,La Liga,Matchweek 16,Home,Barcelona,Mallorca,Y*,0.03,0.27,Left Foot,24,17,1-0,Manolo Reina,Antoine Griezmann,Antoine Griezmann,Pass (Live),Sergio Busquets,Pass (Live),
110,2019-12-01,La Liga,Matchweek 15,Away,Barcelona,Atlético Madrid,Y*,0.06,0.32,Left Foot,21,86,0-0,Jan Oblak,Luis Suárez,Luis Suárez,Pass (Live),Lionel Messi,Pass (Live),
111,2019-11-27,Champions Lg,Group stage,Home,Barcelona,Dortmund,Y*,0.31,0.78,Left Foot,11,33,1-0,Roman Bürki,Luis Suárez,Luis Suárez,Pass (Live),Lionel Messi,Pass (Live),
,,,,,,,,,,,,,,,,,,,,
112,2019-11-18,Friendlies (M),Friendlies (M),Home,Argentina,Uruguay,Y*,,,,,90+2,1-2,Martín Campaña,,,,,,
113,2019-11-15,Friendlies (M),Friendlies (M),Away,Argentina,Brazil,Y*,,,,,14,0-0,Alisson,,,,,,
,,,,,,,,,,,,,,,,,,,,
114,2019-11-09,La Liga,Matchweek 13,Home,Barcelona,Celta Vigo,Y*,0.06,0.50,Left Foot,29,48,2-1,Rubén Blanco,,Frenkie de Jong,Fouled,Antoine Griezmann,Pass (Live),
115,2019-11-09,La Liga,Matchweek 13,Home,Barcelona,Celta Vigo,Y*,0.05,0.43,Left Foot,31,45+1,1-1,Rubén Blanco,,Arthur Melo,Fouled,Arthur Melo,Dribble,
116,2019-11-09,La Liga,Matchweek 13,Home,Barcelona,Celta Vigo,Y*,0.79,0.99,Left Foot,13,23,0-0,Rubén Blanco,,,Fouled,Arthur Melo,Pass (Live),
117,2019-11-02,La Liga,Matchweek 12,Away,Barcelona,Levante,Y*,0.79,0.99,Left Foot,13,38,0-0,Aitor Fernández,,Nélson Semedo,Fouled,Arthur Melo,Pass (Live),
118,2019-10-29,La Liga,Matchweek 11,Home,Barcelona,Valladolid,Y*,0.10,0.38,Left Foot,17,75,3-1,Jordi Masip,Ivan Rakitić,Ivan Rakitić,Pass (Live),Sergio Busquets,Pass (Live),Volley
119,2019-10-29,La Liga,Matchweek 11,Home,Barcelona,Valladolid,Y*,0.04,0.42,Left Foot,30,34,2-1,Jordi Masip,,Nélson Semedo,Fouled,,,
120,2019-10-23,Champions Lg,Group stage,Away,Barcelona,Slavia Prague,Y*,0.36,0.80,Left Foot,14,3,0-0,Ondřej Kolář,Arthur Melo,Arthur Melo,Pass (Live),Lionel Messi,Pass (Live),
121,2019-10-19,La Liga,Matchweek 9,Away,Barcelona,Eibar,Y*,0.43,0.87,Left Foot,9,58,1-0,Marko Dmitrović,Antoine Griezmann,Antoine Griezmann,Pass (Live),Frenkie de Jong,Pass (Live),
122,2019-10-06,La Liga,Matchweek 8,Home,Barcelona,Sevilla,Y*,0.08,0.11,Left Foot,24,78,3-0,Tomáš Vaclík,,,Fouled,Lionel Messi,Pass (Live),
,,,,,,,,,,,,,,,,,,,,
123,2019-06-19,Copa América,Group stage,Neutral,Argentina,Paraguay,Y*,0.79,0.99,Left Foot,13,57,0-1,Gatito Fernández,,,Fouled,Lautaro Martínez,Shot,
124,2019-06-07,Friendlies (M),Friendlies (M),Home,Argentina,Nicaragua,Y,,,,,38,1-0,Justo Lorente,,,,,,
125,2019-06-07,Friendlies (M),Friendlies (M),Home,Argentina,Nicaragua,Y,,,,,37,0-0,Justo Lorente,Giovani Lo Celso,,,,,
,,,,,,,,,,,,,,,,,,,,
126,2019-05-25,Copa del Rey,Final,Neutral,Barcelona,Valencia,Y*,,,,,73,0-2,Jaume Doménech,,,,,,
127,2019-05-19,La Liga,Matchweek 38,Away,Barcelona,Eibar,Y*,0.41,0.69,Left Foot,13,32,1-1,Marko Dmitrović,Ivan Rakitić,Ivan Rakitić,Pass (Live),Jordi Alba,Pass (Live),
128,2019-05-19,La Liga,Matchweek 38,Away,Barcelona,Eibar,Y*,0.39,0.40,Left Foot,8,31,0-1,Marko Dmitrović,Arturo Vidal,Arturo Vidal,Pass (Live),Malcom,Pass (Live),
129,2019-05-01,Champions Lg,Semi-finals,Home,Barcelona,Liverpool,Y*,0.06,0.61,Left Foot,32,82,2-0,Alisson,,Lionel Messi,Fouled,Lionel Messi,Pass (Live),Deflected
