idx,player_name,player_pics,teams
77,G. Güvenç,https://cdn.sofifa.com/players/211/908/22_60.png,"{' Gaziantep F.K.', ' Beşiktaş', ' Mersin İdman yurdu', ' Göztepe'}"
85,N. Pope,https://cdn.sofifa.com/players/203/841/22_60.png,"{' Charlton Athletic', ' York City', ' Newcastle United', ' Burnley', ' Bury', ' England'}"
87,David Soria,https://cdn.sofifa.com/players/223/952/22_60.png,"{' Sevilla', ' Getafe'}"
88,P. Pentz,https://cdn.sofifa.com/players/228/505/22_60.png,"{' Reims', ' Austria', ' Austria Wien'}"
78,C. Vargas,https://cdn.sofifa.com/players/212/067/22_60.png,"{' Atlético Nacional', ' Atlas', ' Colombia', ' Deportivo Cali', ' Argentinos Juniors', ' Santa Fe'}"
84,H. Van Crombrugge,https://cdn.sofifa.com/players/204/308/22_60.png,"{' Anderlecht', ' Belgium', ' Sint-Truiden', ' AS Eupen'}"
89,W. Hahn,https://cdn.sofifa.com/players/222/900/22_60.png,"{' Anderlecht', ' Excelsior', ' PEC Zwolle', ' Go Ahead Eagles', ' IFK Göteborg', ' Feyenoord', ' SC Heerenveen'}"
82,G. Castellón,https://cdn.sofifa.com/players/219/941/22_60.png,"{' Chile', ' Santiago Wanderers', ' Huachipato'}"
86,M. Campaña,https://cdn.sofifa.com/players/225/647/22_60.png,"{' Al Batin', ' Uruguay', ' Independiente'}"
80,W. Benítez,https://cdn.sofifa.com/players/215/223/22_60.png,"{' Quilmes', ' Nice', ' PSV'}"
75,S. Nishikawa,https://cdn.sofifa.com/players/217/646/22_60.png,{' Urawa Reds'}
83,21 M. Fraga,https://cdn.sofifa.com/players/169/321/21_60.png,"{' Atlas', ' Morelia', ' Mazatlán', ' Querétaro', ' Pumas UNAM'}"
91,11 E. van der Sar,https://cdn.sofifa.com/players/051/539/11_60.png,"{' Manchester United', ' 114815'}"
90,Roberto,https://cdn.sofifa.com/players/183/666/22_60.png,"{' Real Valladolid', ' Atlético Madrid', ' Real Zaragoza', ' Benfica', ' Olympiakos Piraeus', ' Recreativo Huelva', ' West Ham United', ' Deportivo Alavés', ' Gimnàstic Tarragona', ' Espanyol', ' Málaga'}"
95,E. Room,https://cdn.sofifa.com/players/189/084/22_60.png,"{' Columbus Crew', ' Go Ahead Eagles', ' Vitesse', ' PSV'}"
92,M. Schuhen,https://cdn.sofifa.com/players/209/987/22_60.png,"{' Sandhausen', ' Darmstadt 98', ' FC Köln'}"
93,G. Buffon,https://cdn.sofifa.com/players/001/179/22_60.png,"{' Paris Saint Germain', ' Italy', ' Juventus', ' Parma'}"
97,S. Viera,https://cdn.sofifa.com/players/161/663/22_60.png,"{' Villarreal', ' Uruguay', ' Junior'}"
94,P. Carlgren,https://cdn.sofifa.com/players/216/750/22_60.png,"{' AIK', ' Sweden', ' Randers', ' Konyaspor', ' Nordsjælland'}"
101,Lucas Mantela,https://cdn.sofifa.com/players/230/182/22_60.png,"{' Brazil', ' Athletico PR', ' Palmeiras'}"
102,J. Alnwick,https://cdn.sofifa.com/players/204/354/22_60.png,"{' Blackpool', ' Port Vale', ' Scunthorpe United', ' Newcastle United', ' Rangers', ' Bradford City', ' St. Mirren', ' Cardiff City'}"
81,E. Andrada,https://cdn.sofifa.com/players/205/849/22_60.png,"{' Lanús', ' 114149', ' Argentina', ' Arsenal de Sarandi', ' Monterrey', ' Boca Juniors'}"
96,Munir,https://cdn.sofifa.com/players/223/573/22_60.png,"{' Morocco', ' Numancia', ' Al Wahda', ' Málaga', ' Hatayspor'}"
99,O. Baumann,https://cdn.sofifa.com/players/193/698/22_60.png,"{' TSG Hoffenheim', ' SC Freiburg', ' Germany'}"
98,L. Fabiański,https://cdn.sofifa.com/players/164/835/22_60.png,"{' Swansea City', ' Legia Warszawa', ' West Ham United', ' Arsenal', ' Poland'}"
100,J. Huth,https://cdn.sofifa.com/players/229/692/22_60.png,"{' FSV Mainz 05', ' Paderborn', ' Sparta Rotterdam'}"
103,O. Vlachodimos,https://cdn.sofifa.com/players/211/990/22_60.png,"{' Benfica', ' Panathinaikos', ' VfB Stuttgart', ' Greece'}"
106,J. Siebenhandl,https://cdn.sofifa.com/players/193/277/22_60.png,"{' Admira', ' Würzburger Kickers', ' Austria', ' Wiener Neustadt', ' Sturm Graz'}"
110,M. Bizot,https://cdn.sofifa.com/players/200/110/22_60.png,"{' Netherlands', ' AZ', ' Brest', ' Genk', ' FC Groningen'}"
111,Y. Bounou,https://cdn.sofifa.com/players/209/981/22_60.png,"{' Atlético Madrid', ' Real Zaragoza', ' Girona', ' Morocco', ' Sevilla'}"
105,Dani Jiménez,https://cdn.sofifa.com/players/194/934/22_60.png,"{' Leganés', ' Alcorcón', ' Sevilla', ' Mirandés'}"
104,A. Hansen,https://cdn.sofifa.com/players/190/459/22_60.png,"{' Lillestrøm', ' Rosenborg', ' Odd', ' Norway'}"
112,M. Crépeau,https://cdn.sofifa.com/players/213/536/22_60.png,"{' Canada', ' Vancouver Whitecaps', ' Montreal Impact', ' Los Angeles FC'}"
108,G. Ochoa,https://cdn.sofifa.com/players/140/233/22_60.png,"{' Standard Liège', ' Ajaccio', ' América', ' Mexico', ' Málaga', ' Granada'}"
114,J. Lewis,https://cdn.sofifa.com/players/156/253/22_60.png,"{' Peterborough United', ' Aberdeen', ' Blackpool', ' Fulham', ' Norwich City', ' Morecambe', ' Cardiff City'}"
113,S. Scuffet,https://cdn.sofifa.com/players/220/048/22_60.png,"{' APOEL', ' 113974', ' Italy', ' Spezia', ' CFR Cluj', ' Udinese', ' Como', ' Kasımpaşa'}"
