,player,teams
128,João Filipe Iria Santos Moutinho,"['Sporting CP', 'Wolverhampton …', 'Monaco', 'Porto', 'Wolverhampton']"
129,Sokratis Papastathopoulos,"['Dortmund', 'AEK', 'Milan', 'AEK Athens', 'Niki Volos', 'Genoa', 'Werder Bremen', 'Niki', 'Borussia Dortmund', 'Arsenal U23', 'Bremen', 'Arsenal', 'Olympiakos']"
130,Serge Gnabry,"['West Bromwich …', 'Bayern München', 'Hoffenheim II', 'Hoffenheim', 'West Bromwich', 'Werder Bremen', 'Bayern Munich', 'Bremen', 'Arsenal']"
131,Salvatore Sirigu,"['Osasuna', 'Ancona', 'Palermo', 'Cremonese', 'PSG', 'Sevilla', 'Torino']"
132,Képler Laveran Lima Ferreira,"['Beşiktaş', 'Marítimo', 'Porto', 'Real Madrid']"
133,Marek Hamšík,"['IFK Göteborg', 'Slovan', 'Napoli', 'Dalian Pro', 'Trabzonspor', 'Slovan Bratislava', 'Brescia']"
134,Ivan Perišić,"['Inter', 'Club Brugge', 'Internazionale', 'Dortmund', 'Bayern München', 'KSV Roeselare', 'Wolfsburg', 'Sochaux', 'Borussia Dortmund', 'Bayern Munich', 'Roeselare']"
135,Edin Džeko,"['Roma', 'Željezničar', 'Teplice', 'Wolfsburg', 'Manchester City', 'Man City']"
136,Lucas  Pezzini Leiva,"['Grêmio', 'Liverpool', 'Liverpool U23', 'Lazio']"
137,Yann Sommer,"[""Borussia M'gla…"", 'Vaduz', 'Basel', ""M'gladbach"", 'Grasshopper']"
138,José María Callejón Bueno,"['Real Madrid', 'Fiorentina', 'Napoli', 'Espanyol']"
139,Jérôme Boateng,"['Hamburger SV', 'Hertha BSC', 'Bayern München', 'Hertha BSC II', 'Hamburg', 'Bayern Munich', 'Manchester City', 'Man City']"
140,Javier Martínez Aginaga,"['Osasuna', 'Athletic Club', 'Bayern München', 'Qatar', 'Bayern Munich']"
141,Arturo Vidal,"['Juventus', 'Leverkusen', 'Bayer Leverkusen', 'Bayern München', 'Colo Colo', 'Barcelona', 'Bayern Munich']"
142,İlkay Gündoğan,"['Nürnberg', 'Manchester Cit…', 'Dortmund', 'Bochum', 'Borussia Dortmund', 'Man City', 'Manchester City', 'Borussia Dortm…', 'Bochum II']"
143,José Paulo Bezzera Maciel Júnior,"['Guangzhou FC', 'RB Bragantino', 'Tottenham', 'Osasco Audax', 'Tottenham Hotspur', 'Barcelona', 'Corinthians']"
144,César Azpilicueta Tanco,"['Chelsea', 'Osasuna', 'Olympique Mars…', 'Marseille']"
145,Mesut Özil,"['Real Madrid', 'Fenerbahçe', 'Werder Bremen', 'Schalke 04', 'Bremen', 'Arsenal']"
146,Riyad Mahrez,"['Le Havre', 'Leicester City', 'Leicester', 'Le Havre II', 'Manchester City', 'Man City']"
147,Mario Mandžukić,"['Juventus', 'Bayern München', 'Atlético', 'Atletico Madrid', 'Wolfsburg', 'Dinamo Zagreb', 'Al Duhail', 'Bayern Munich', 'Zagreb']"
148,Douglas Costa de Souza,"['Grêmio', 'Juventus', 'Shakhtar D', 'Bayern München', 'Shakhtar Donetsk', 'Bayern Munich']"
149,Josip Iličić,"['Atalanta', 'Palermo', 'Fiorentina', 'Interblock', 'Maribor', 'SC Bonifika Koper']"
150,Edin Višća,"['Željezničar', 'Başakşehir', 'Istanbul Basak…']"
151,Georginio Wijnaldum,"['PSV', 'Newcastle', 'Liverpool', 'Newcastle United', 'PSV II', 'PSG', 'Feyenoord']"
152,Giovani Lo Celso,"['Tottenham', 'Betis', 'Tottenham Hotspur', 'PSG', 'R. Central', 'Rosario Central', 'Real Betis']"
153,Kyle Walker,"['Tottenham', 'QPR', 'Sheffield United', 'Northampton Town', 'Aston Villa', 'Sheff Utd', 'Northampton', 'Tottenham Hotspur', 'Queens Park Ra…', 'Manchester City', 'Man City']"
154,Dušan Tadić,"['Groningen', 'Vojvodina', 'Ajax', 'Twente', 'Southampton']"
155,Alessio Romagnoli,"['Sampdoria', 'Milan', 'Roma']"
156,Trent Alexander-Arnold,"['Liverpool U18', 'Liverpool', 'Liverpool U23']"
157,Luís Miguel Afonso Fernandes,"['La Coruña', 'Braga', 'Paços Ferreira', 'Deportivo La C…', 'Sporting Braga', 'Sporting Covilhã', 'Atlético', 'Covilhã', 'Atletico Madrid', 'Benfica', 'Espanyol', 'Paços de Ferreira', 'Ribeirão']"
158,Sergio Canales Madrazo,"['Real Madrid', 'Betis', 'Real Sociedad', 'Racing Santander', 'Santander', 'Valencia', 'Real Betis']"
159,Fabián Ruiz Peña,"['Elche', 'Betis', 'Napoli', 'Real Betis II', 'Real Betis']"
160,Felipe Augusto de Almeida Monteiro,"['RB Bragantino', 'Atlético', 'Porto', 'Atletico Madrid', 'Corinthians']"
161,Arkadiusz Milik,"['Rozwój Katowice', 'Bayer Leverkus…', 'Leverkusen', 'Bayer Leverkusen', 'Ajax II', 'Górnik Zabrze', 'Napoli', 'Marseille', 'Olympique Mars…', 'Rozwój', 'Ajax', 'Górnik', 'Augsburg']"
162,Manuel Obafemi Akanji,"['Winterthur', 'Basel', 'Borussia Dortmund', 'Dortmund']"
163,Anderson Souza Conceição,"['Beşiktaş', 'Guangzhou FC', 'Benfica', 'Bahia']"
